Study_Hours,Attendance_Percentage,Internal_Marks,Assignment_Score,Final_Marks,Result
0.89,70.21,49,15,35.38,Fail
11.84,93.64,38,14,68.19,Pass
9.27,96.18,35,12,60.42,Pass
2.38,88.44,49,17,42.77,Pass
0.07,78.14,41,5,35,Fail
9.79,58.22,33,19,48.77,Pass
8.48,98.98,39,8,59.25,Pass
8.75,56.45,43,17,55.94,Pass
9.26,52.16,20,6,38.95,Fail
0.89,66.53,32,4,37.73,Fail
4.3,43.41,41,10,35,Fail
1.39,98.71,21,12,40.31,Pass
10.36,75.31,41,2,44.03,Pass
7.48,73.42,33,0,40.31,Pass
3.97,79.35,20,3,35,Fail
0.76,69.82,34,18,35,Fail
3.73,41.92,37,17,37.91,Fail
3.9,76.74,28,5,35,Fail
8.76,82.97,41,9,57.4,Pass
7.65,65,27,6,47.66,Pass
10.65,85.44,26,11,55.88,Pass
5.67,53.62,28,7,39.23,Fail
1.44,53.28,28,12,37.8,Fail
8.56,49.69,30,17,47.56,Pass
9.13,62.32,23,13,53.69,Pass
6.74,90.82,26,10,59.5,Pass
9.25,89.67,40,9,67.05,Pass
5.93,62.97,26,5,45.82,Pass
6.27,75.35,23,12,47.02,Pass
5.13,83.25,31,9,48.87,Pass
0.31,54.47,45,11,35,Fail
1.29,50.09,46,0,35,Fail
0.38,98.33,46,17,43.31,Pass
7.64,77.05,36,12,48.94,Pass
3.77,98.88,39,3,42.39,Pass
6.1,60.27,50,5,44.67,Pass
10.89,82.18,48,17,69.26,Pass
2.99,53.36,45,4,35,Fail
4.92,55.67,50,17,48.18,Pass
9.07,70.71,22,4,51.06,Pass
2.75,59.18,28,6,35,Fail
0.92,50.06,24,8,35,Fail
3.48,55.77,39,2,35,Fail
1.93,42.14,35,11,35,Fail
11.16,82.27,27,19,63.52,Pass
9.7,69.53,50,13,61.51,Pass
7.6,45.65,40,7,39.08,Fail
10.46,50.3,35,11,57.13,Pass
9.64,46.15,38,6,44.89,Pass
2.24,76.76,35,8,35.86,Fail
10.71,45.65,37,11,44.37,Pass
6.47,85.26,34,3,41.12,Pass
9.69,41.23,43,4,49.38,Pass
10.75,54.96,47,8,61.53,Pass
3.82,93.44,37,6,35.79,Fail
1.32,83.11,33,13,35,Fail
2.74,44.38,43,19,50.93,Pass
5.13,89.27,35,16,59.64,Pass
9.82,69.58,24,0,47.16,Pass
10.33,90.81,27,14,65.04,Pass
0.08,76.04,35,14,35,Fail
6.13,80.91,40,0,46.73,Pass
5.01,99.61,20,14,46.88,Pass
2.67,53.94,47,1,35,Fail
1.44,77.44,48,3,37.2,Fail
4.05,67.62,30,16,40.39,Pass
11.31,42.37,49,15,65.07,Pass
3.88,40.87,30,17,35.36,Fail
6.23,47.15,21,20,35.77,Fail
8.44,78.95,49,15,61.63,Pass
4.36,74.03,41,7,46.76,Pass
11.66,73.21,38,5,62.49,Pass
11.55,41.91,43,19,54.88,Pass
3.02,68.16,24,1,35,Fail
5.97,95.48,22,18,52.29,Pass
3.61,63.86,47,12,45.29,Pass
3.42,77.5,45,20,54.5,Pass
0.44,86.79,42,5,35,Fail
7.31,87.04,49,5,48.21,Pass
6.03,71.16,27,12,46.7,Pass
0.62,91.48,23,0,35,Fail
3.34,63.48,48,20,54.94,Pass
10.9,93.32,32,8,60.38,Pass
2.87,54.41,46,11,35.86,Fail
1.74,56.81,44,11,35,Fail
5.87,43.19,41,3,35,Fail
11.83,87.73,33,18,70.17,Pass
2.9,65.02,20,15,35,Fail
8.07,53.75,24,11,49.02,Pass
9.14,53.91,40,0,48.23,Pass
2.85,94.08,26,20,44.21,Pass
8.74,90.03,42,3,58.03,Pass
4.41,73.21,25,8,36.32,Fail
7.59,76.97,34,6,46.06,Pass
7.6,68.46,34,9,48.27,Pass
6.43,63.5,27,12,47.81,Pass
1.08,94.93,21,7,35,Fail
10.02,47.54,33,19,61.4,Pass
3.85,65.11,48,9,44.31,Pass
2.24,60.67,35,9,35,Fail
0.49,69.89,48,7,36.02,Fail
7.09,67.46,42,19,61.93,Pass
8.13,71.13,29,14,56.84,Pass
0.2,48.4,34,0,35,Fail
6.15,70.79,42,14,54.32,Pass
2.72,54.55,23,16,35,Fail
7.74,51.06,31,12,43.69,Pass
2.09,43.89,29,11,35,Fail
8.29,85.76,21,2,40.94,Pass
4.64,65.65,23,18,36.31,Fail
11.24,77.6,39,4,55.63,Pass
1.65,83.66,47,2,35,Fail
4.09,80.76,47,20,46.95,Pass
1.36,68.23,25,4,36.18,Fail
11.1,63.27,33,8,60.87,Pass
10.53,62.56,42,5,54.31,Pass
3.1,78.4,22,15,39.92,Fail
7.92,69.69,34,9,44.5,Pass
9.81,90.95,45,15,68.48,Pass
6.66,92.48,20,2,41.03,Pass
6.36,50.23,38,17,45.31,Pass
2.9,48.17,44,10,36.46,Fail
1.12,77.82,20,18,35,Fail
10.77,58.07,32,14,61.09,Pass
10.81,41.11,27,10,49.58,Pass
7.6,93.32,37,9,45.31,Pass
4.07,53.61,41,8,37.17,Fail
4.19,95.76,22,2,35,Fail
8.71,83.05,42,8,48.44,Pass
10.77,85.76,37,17,60.98,Pass
10.65,52.09,39,11,45.85,Pass
9.36,54.05,45,20,56.85,Pass
7.7,71.28,28,15,51.12,Pass
1.01,50.33,25,3,35,Fail
1.94,58.33,39,0,35,Fail
10.78,59.29,21,12,56.23,Pass
7.28,49.58,45,7,53.78,Pass
0.11,52.31,49,5,35,Fail
1.22,87.31,44,7,35,Fail
7.96,50.03,50,18,58.42,Pass
0.06,41.71,23,11,35,Fail
1.93,77.76,44,0,35,Fail
6.58,98.56,49,3,53.96,Pass
8.3,59.87,37,12,60.84,Pass
7.82,47.12,26,16,39.94,Fail
2.69,74.22,46,18,47.09,Pass
8.55,94.38,30,18,63.53,Pass
2.85,87.04,24,4,35,Fail
3.9,77.35,27,10,40.22,Pass
8.96,58.9,30,6,51.39,Pass
7.8,72.51,49,2,49.67,Pass
10.19,45.47,43,10,50.19,Pass
7.89,80.74,49,16,60.53,Pass
6.82,83.51,49,10,49.7,Pass
1.12,97.9,39,14,38.73,Fail
4.41,55.62,48,18,51.58,Pass
3.18,41.11,39,7,35,Fail
2.93,72.74,34,15,45.83,Pass
11.68,82.41,43,20,71.92,Pass
4.72,87.42,22,14,38.21,Fail
10.7,51.62,26,2,41.11,Pass
7.57,55.71,43,5,50.62,Pass
9.54,70.76,27,2,47.67,Pass
6.03,59.84,30,4,37.49,Fail
6.92,91.63,29,0,44.34,Pass
5.91,68.43,39,13,44.92,Pass
2.34,87.97,28,11,35,Fail
8.67,74.84,34,12,58.91,Pass
3.37,86.39,45,13,50.43,Pass
0.29,59.96,39,11,35,Fail
7.75,89.88,43,12,52.76,Pass
2.13,56.47,41,5,35,Fail
11.29,72.77,24,20,52.09,Pass
11.45,52.84,34,14,59.12,Pass
10.98,68.53,23,15,46.25,Pass
4.44,59.09,24,8,35,Fail
0.19,56,50,7,35,Fail
11.14,98.02,48,4,63.42,Pass
5.14,49.6,34,14,36.59,Fail
11.6,87.24,46,6,71.63,Pass
11.56,99.05,36,16,69.56,Pass
10.24,41.19,42,15,54.14,Pass
3.53,81.94,27,10,37.02,Fail
4.62,55.17,47,6,50.26,Pass
10.21,42.43,44,10,50.74,Pass
3.8,64.17,48,1,35,Fail
2.03,96.11,38,1,35,Fail
6.68,40.71,50,5,42.4,Pass
11.23,75.27,28,2,59.24,Pass
8.35,70.08,29,0,40.19,Pass
6.84,92.4,24,19,49.87,Pass
1.17,45.04,29,15,35,Fail
7.38,80.89,41,13,54.63,Pass
11.88,80.81,20,16,64.27,Pass
1.68,80.14,44,17,48.13,Pass
6.22,96.54,44,3,51.07,Pass
10.53,89.39,41,2,56.18,Pass
8.89,42.52,43,7,54.8,Pass
8.36,68.26,23,3,38.2,Fail
8.43,63.88,40,14,50.8,Pass
4.31,58.61,24,12,35,Fail
3.52,67.08,42,13,49.27,Pass
9.71,63.05,26,13,47.75,Pass
9.72,65.94,42,4,50.39,Pass
10.4,98.76,24,4,53.68,Pass
10.96,45.32,39,12,56.71,Pass
6.14,95.33,27,3,40.35,Pass
6.02,68.81,36,17,52.31,Pass
9.58,77.42,20,5,44.2,Pass
7.8,89.81,41,4,57.05,Pass
8.42,61.63,37,2,47.48,Pass
9.55,65.83,31,19,62.63,Pass
10.68,64.57,22,2,42.43,Pass
4.06,62.48,39,2,35.58,Fail
4.51,95.53,33,19,40.72,Pass
1.13,89.74,35,1,37.57,Fail
6.94,46.54,37,19,62,Pass
0.43,46.49,29,17,35,Fail
5.59,65.67,42,9,47.89,Pass
6.51,45.92,34,20,49.33,Pass
3.44,77.15,29,6,35,Fail
7.09,48.62,20,19,50.66,Pass
0.37,71.34,38,13,35,Fail
0.45,40.43,21,9,35,Fail
9.87,59,32,19,54.15,Pass
4.32,80.63,44,15,42.52,Pass
1.52,69.04,35,5,35,Fail
6.27,98.7,27,16,51.46,Pass
9.24,92.45,22,5,54.7,Pass
2.59,61.54,40,17,51.06,Pass
7.47,42.73,38,9,55.24,Pass
1.02,90.74,33,9,35,Fail
0.62,94.67,30,8,35.65,Fail
6.38,89.24,48,14,60.92,Pass
6.49,47.68,31,10,39.16,Fail
7.65,99.87,30,6,51.14,Pass
8.71,55.52,47,17,61.1,Pass
11.71,83.45,30,1,51.97,Pass
6.2,94.48,41,1,53.08,Pass
3.88,54.14,40,12,42.2,Pass
9.54,94.5,46,10,61.57,Pass
3.25,58.57,37,18,36.39,Fail
5.27,98.58,49,19,64.72,Pass
0.94,56.88,29,0,35,Fail
0.3,97.21,35,16,39.32,Fail
11.55,43.21,27,19,53.33,Pass
10.03,82.56,25,17,62.13,Pass
8.35,71.93,49,7,49.79,Pass
4.91,68.67,50,12,38.74,Fail
2.08,53.41,38,3,35,Fail
1.88,82.34,32,18,42.39,Pass
3,51.45,34,2,35,Fail
6.59,73.17,32,5,43.95,Pass
8.58,55.19,20,5,39.87,Fail
7.92,97.34,40,5,54.19,Pass
3.36,41.72,47,7,51.96,Pass
11.46,51.98,46,16,65.7,Pass
8.85,54.54,21,9,41.99,Pass
6.65,64.84,32,4,41.03,Pass
7.34,53.96,21,18,44.61,Pass
5.04,69.48,44,10,46.97,Pass
2.97,92.35,30,9,35,Fail
4.27,82.72,32,2,41.08,Pass
9.09,74.8,50,9,60.83,Pass
0.17,45.34,29,1,35,Fail
1.39,81.64,42,8,42.42,Pass
0.55,49.98,41,4,35,Fail
0.49,87.18,34,20,50.66,Pass
10.27,55,48,16,72.15,Pass
8.44,65.02,20,5,50.48,Pass
5.69,61.03,50,10,46.9,Pass
1.17,91.53,33,4,35,Fail
5.9,47.59,29,6,35,Fail
5.68,73.94,37,6,45.84,Pass
2.08,48.52,30,3,35,Fail
5.21,82.29,26,20,45.47,Pass
4.78,94.3,34,9,42.74,Pass
7.39,66.08,22,17,47.8,Pass
7.62,69.29,21,0,52.52,Pass
0.54,95.65,41,13,46.43,Pass
4.5,71.26,27,5,36.17,Fail
7.51,69.26,50,10,54.26,Pass
6.04,74.7,27,13,48.02,Pass
10.28,81.35,30,19,58.24,Pass
7.9,46.41,35,2,40.77,Pass
1.96,89.27,21,15,35,Fail
0.85,66.13,41,15,37.9,Fail
7.71,44.34,47,6,48.91,Pass
0.32,87.17,24,7,35,Fail
7.03,62.62,26,3,41.42,Pass
11.28,46.02,39,11,57.93,Pass
6.91,78.03,47,11,51.72,Pass
4.66,92.81,32,9,47.89,Pass
7.72,93.27,21,11,47.39,Pass
5.5,97.46,45,10,47.13,Pass
6.55,92.06,22,10,36.18,Fail
11.3,40.13,28,14,61.05,Pass
4.63,62.81,29,5,36.23,Fail
11.53,89.11,43,10,65.81,Pass
10.86,61.98,32,1,49.63,Pass
2.35,76.09,44,8,45.78,Pass
0.83,76.38,40,10,36.25,Fail
1.21,61.9,32,15,41.85,Pass
0.22,94.27,24,12,35,Fail
1.13,70.19,42,12,35,Fail
8.2,67.89,26,17,57.62,Pass
0.85,99.85,36,20,45.08,Pass
3.83,69.61,47,0,36.28,Fail
10.14,50.7,34,19,56.67,Pass
0.28,70.78,49,9,35,Fail
9.77,88.84,24,18,51.94,Pass
3.38,86.61,43,16,52.63,Pass
1.42,87.31,26,0,35,Fail
8.36,82.48,46,0,47.33,Pass
7.55,55.25,21,16,66.66,Pass
10.53,91.73,49,14,62.32,Pass
8.82,93.61,43,1,53.45,Pass
9.64,51.65,37,10,41.14,Pass
3.38,47.83,29,20,45.5,Pass
2.13,98.54,20,1,35,Fail
9.01,92.1,46,19,70.22,Pass
9.68,93.59,46,8,56.72,Pass
11.89,93.18,33,18,59.62,Pass
4.95,72.5,46,1,38.52,Fail
4.46,78.78,38,15,53.89,Pass
9.32,72.72,35,19,62.49,Pass
4.09,43.07,38,8,35,Fail
11.17,84.73,25,19,49.94,Pass
10.3,70.32,31,20,59.09,Pass
5.15,78.86,22,3,40.77,Pass
9.01,70.16,26,12,46.86,Pass
9.05,69.51,43,14,64.03,Pass
1.24,50.31,22,19,35,Fail
10.83,56.72,44,1,62.55,Pass
6.06,49.53,36,19,44.99,Pass
9.92,51.74,34,17,56.06,Pass
3.84,98.38,38,8,41.08,Pass
10.75,49.19,47,19,69.38,Pass
4.67,56.16,38,0,38.25,Fail
0.13,75.44,42,2,35,Fail
10.86,76.61,30,16,63.7,Pass
1.1,49.24,46,10,35,Fail
3.83,87.62,40,7,38.36,Fail
11.4,87.11,39,20,72.89,Pass
11.41,54.24,21,11,45.39,Pass
6.88,57.32,26,10,40.34,Pass
7.58,96.28,38,12,59.59,Pass
5.38,89.54,26,14,47.76,Pass
3.52,81.87,29,19,45.86,Pass
3.94,44.93,31,16,42.55,Pass
8.07,65.1,42,11,59.88,Pass
9.03,73.56,46,18,56.61,Pass
9.5,51.24,37,19,59.3,Pass
9.48,66.89,42,10,61.36,Pass
1.09,76.06,25,9,35,Fail
5.93,59.64,45,16,50.57,Pass
0.69,86.86,39,12,36.47,Fail
6.59,90.43,46,15,61.56,Pass
5.3,59.42,40,19,50.63,Pass
10.65,90.32,47,19,75.84,Pass
4.21,46.21,27,16,38.41,Fail
1.4,90.26,24,4,35,Fail
1.72,49.17,22,8,35,Fail
9.14,44.98,21,3,38.64,Fail
7.42,78.51,41,8,45.37,Pass
1.21,68.32,25,15,35,Fail
1.01,94.47,26,6,35,Fail
8.41,61.79,27,13,52.41,Pass
0.87,57.23,23,13,35,Fail
9.86,70.04,31,6,52.05,Pass
8.47,67.36,43,15,60.85,Pass
0.98,60.67,31,17,35,Fail
1.02,81.62,36,5,35,Fail
11.84,85.57,41,6,60.2,Pass
4.49,91.18,41,18,55.96,Pass
4.45,98.37,38,7,45.15,Pass
9.75,56,28,0,35,Fail
11.37,82.97,31,16,61.1,Pass
11.83,63.66,47,18,71.38,Pass
9.04,80.62,40,6,55.21,Pass
4.52,68.56,50,17,46.68,Pass
1,99.63,36,5,35,Fail
9.33,83.73,42,20,54.94,Pass
6.7,97.15,29,5,48.67,Pass
5.09,90.1,50,0,49.35,Pass
10.88,94.17,49,9,65.66,Pass
1.33,88.87,38,7,35,Fail
5.91,67.55,45,6,41.1,Pass
0.14,55.11,45,8,35,Fail
5.62,62.22,30,0,35,Fail
0.68,41.21,39,10,35,Fail
1.43,71.44,41,2,35,Fail
1.41,70.3,43,17,47.31,Pass
7.79,71.52,32,5,46.25,Pass
8.95,98.44,23,10,49.74,Pass
7,94.69,34,4,49.86,Pass
11.55,49.7,31,19,64.03,Pass
4.5,62.13,44,3,35,Fail
3.43,65.44,43,7,39.44,Fail
10.42,61.63,45,9,60.02,Pass
2.68,87.91,29,2,35.09,Fail
11.56,71.44,41,12,61.45,Pass
0.15,74.33,26,16,35,Fail
11.64,91.18,43,4,57.58,Pass
0.52,88.36,21,7,37.24,Fail
10.69,47.93,40,18,57.59,Pass
6.33,82.83,48,17,59.69,Pass
11.92,66.13,26,0,47.36,Pass
0.89,57.68,27,3,35,Fail
6.65,43,40,17,43.88,Pass
11.63,69.23,38,13,67.84,Pass
6.28,61.33,50,10,46.81,Pass
7.55,55.09,25,8,42.35,Pass
8.35,81.68,40,12,56.01,Pass
5.45,86.17,27,16,43.44,Pass
7.53,54.69,44,14,40.3,Pass
7.01,42.97,44,1,47.47,Pass
10.81,90.93,47,5,63.19,Pass
0.55,40.6,47,6,35,Fail
3.37,96.23,41,1,35,Fail
11.4,77.66,50,12,65.74,Pass
10.68,59.31,39,9,56.18,Pass
5.47,54.79,23,15,39.02,Fail
7.44,40.54,44,8,54.3,Pass
3.33,54.13,39,7,35,Fail
2.26,48.26,43,14,39.55,Fail
5.56,76.73,28,6,43.44,Pass
4.24,49.99,24,18,41.62,Pass
7,71.72,48,3,53.73,Pass
0.93,75.41,25,8,35,Fail
11.69,57.88,38,18,65.14,Pass
11.83,42.1,31,1,47.24,Pass
8.38,42.24,24,6,35,Fail
6.43,41.58,24,18,44.36,Pass
3.71,84.35,50,5,42.91,Pass
9.77,59.08,49,14,57.57,Pass
8.22,87.78,37,6,53.98,Pass
1.95,65.9,45,5,38.07,Fail
10.93,67.18,25,0,43.87,Pass
9.87,70.77,28,13,55.54,Pass
11.4,82.78,30,0,52.51,Pass
8.71,56.41,50,5,54.19,Pass
7.36,47.3,42,17,58.76,Pass
5.02,73.36,33,16,48.57,Pass
11.19,59.62,43,1,56.55,Pass
10.39,66.55,21,7,44.13,Pass
0.54,78.82,46,20,39.85,Fail
0.32,69.65,48,1,35,Fail
4.52,77.22,33,15,37.14,Fail
9.73,72.65,44,3,52.84,Pass
11.85,84.39,38,1,54.27,Pass
1.81,82.36,29,4,35,Fail
7.13,72.05,24,16,46.75,Pass
4.57,80.73,49,1,44.39,Pass
11.64,92.41,42,13,69.89,Pass
10.11,65.94,23,19,60.6,Pass
10.06,64.77,26,6,54.07,Pass
5.62,85.85,43,14,51.34,Pass
4.98,74.95,50,17,50.94,Pass
3.28,44.26,32,12,35,Fail
0.68,93.53,29,11,35,Fail
10.38,41.85,49,1,47.49,Pass
9.75,84.9,29,11,57.66,Pass
12,85.53,23,5,60.15,Pass
11.96,97.19,35,0,50.86,Pass
6.67,43.25,34,20,48.81,Pass
9.23,75.81,40,0,58.23,Pass
11.34,65.67,30,14,51.19,Pass
10.2,59.84,38,15,66.06,Pass
2.97,45.42,40,6,35,Fail
5.41,73.76,43,13,46.55,Pass
1.55,68.74,22,18,36.87,Fail
11.45,46.27,34,18,62.5,Pass
7.27,76.75,35,12,50.36,Pass
2.74,84.28,33,20,40.87,Pass
8.06,86.04,48,11,52.64,Pass
7.42,94.32,24,0,41.91,Pass
4.3,64.57,45,11,43.97,Pass
1.36,97.18,36,3,35,Fail
8.06,91.93,37,14,55.86,Pass
6.24,57.79,38,15,49.72,Pass
9.27,49.56,20,14,52.36,Pass
6.24,66.12,48,7,49.89,Pass
10.23,64.11,46,18,63.51,Pass
6.62,74.54,47,14,50.81,Pass
6.73,75,46,17,52.95,Pass
10.52,85,44,10,63.73,Pass
4.84,70.59,28,8,40.04,Pass
1.61,46.29,40,0,35,Fail
0.35,91.5,33,8,37.13,Fail
9.06,58.59,39,11,53.93,Pass
7.44,98.28,40,1,47.51,Pass
8.45,47.07,39,10,46.51,Pass
2.56,97.5,47,20,48.21,Pass
1.64,45.46,40,13,37.12,Fail
0.17,53.86,42,1,35,Fail
4.21,42.79,30,14,37.88,Fail
7.08,82.31,43,20,55,Pass
4.71,91.02,21,20,44.99,Pass
5.25,66.04,39,17,48.56,Pass
10.85,95.71,43,13,78.3,Pass
4.18,75.42,42,20,44.03,Pass
6.17,77.8,44,11,55.34,Pass
9.4,90.73,24,9,48.27,Pass
4.76,57.81,41,13,51.52,Pass
7.47,61.26,50,14,52.77,Pass
10.35,94.36,46,4,66.01,Pass
11.39,94.06,43,1,61.49,Pass
1.76,98.59,34,5,35,Fail
11.12,94.11,31,11,61.91,Pass
5.91,47.64,33,1,38.3,Fail
3.1,89.42,50,3,45.9,Pass
5.51,64.59,30,6,37.88,Fail
11.76,99.45,50,15,86.29,Pass
5.91,68.34,40,0,50.76,Pass
3.95,73.23,49,0,42.15,Pass
7.6,71.79,28,13,42.19,Pass
2.88,59.3,39,10,35,Fail
0.91,44.5,27,11,35,Fail
1.55,93.74,31,10,35.86,Fail
1.54,88.16,49,5,35.54,Fail
1.82,48.37,22,11,35,Fail
1.67,86.61,40,20,35.22,Fail
7.69,77.55,34,11,40.25,Pass
2.18,64.55,27,9,35,Fail
4.15,55.24,50,7,50.82,Pass
10.76,91.58,45,19,62.28,Pass
5.69,82.01,47,18,55.06,Pass
8.01,72.86,26,6,44.86,Pass
2.07,76.57,36,13,40.72,Pass
2.31,45.46,31,3,35,Fail
0.49,68.44,39,0,35,Fail
2.03,51.62,37,7,35.05,Fail
3.34,52.5,37,4,35,Fail
2.12,79.68,48,7,42.56,Pass
1.06,94.68,34,7,35,Fail
1.45,64.23,42,20,43.28,Pass
5.53,52.46,47,6,49.9,Pass
2.48,78.92,47,18,44.21,Pass
4.37,92.27,22,3,35,Fail
6.04,84.9,38,19,52.33,Pass
8.28,92.13,34,5,62.51,Pass
0.47,72.19,35,11,35,Fail
9.59,85.11,41,17,62.47,Pass
7.53,48.4,41,11,48.65,Pass
0.98,60.9,36,17,42.95,Pass
10.48,63.37,50,2,53.72,Pass
11.05,70.68,50,9,67.59,Pass
0.73,95.74,50,6,35.99,Fail
3.32,92.46,20,2,35,Fail
9.67,48.07,30,18,56.04,Pass
8.98,50.37,25,12,53.28,Pass
2.21,61.46,42,3,35,Fail
2.51,57.44,28,9,35,Fail
4.45,76.89,39,5,44.43,Pass
5.81,94.17,35,0,42.6,Pass
7.42,97.74,49,5,59.21,Pass
4.43,79.22,45,7,37.03,Fail
5.55,90.29,25,14,40.62,Pass
8.97,71.51,31,7,49.44,Pass
0.44,52.5,38,5,35,Fail
3.03,71.48,32,18,41.25,Pass
8.56,73.3,32,13,53.39,Pass
10.74,84.55,46,1,61.57,Pass
6.14,53.19,23,6,35,Fail
6.39,62.1,28,7,43.72,Pass
1.29,61.84,33,9,36.35,Fail
5.37,97.57,33,12,46.75,Pass
6.39,66.64,36,20,48.07,Pass
2.91,85.31,24,19,45.52,Pass
3.23,85.05,50,0,49.43,Pass
4.53,55.93,50,8,45.25,Pass
0.24,74.31,46,9,35,Fail
3.86,93.66,42,19,51.87,Pass
2.54,68.51,38,1,35,Fail
3.93,96.71,50,19,59.31,Pass
1.44,52.87,21,10,35,Fail
10.69,44.45,32,4,43.95,Pass
7.12,93.49,30,17,55.02,Pass
8.15,90.86,21,6,42.73,Pass
9.47,99.56,20,2,41.23,Pass
5.98,80.76,40,15,55.86,Pass
1.04,96.2,48,14,46.12,Pass
6.45,89.62,22,7,40.22,Pass
7.04,90.67,46,19,67.36,Pass
8.95,74.15,31,4,44.56,Pass
5.18,62.94,26,2,35,Fail
1.53,96.07,20,4,35,Fail
3.41,65.93,28,8,38.8,Fail
4.36,72.33,49,15,52.3,Pass
7.75,66.77,37,13,49.17,Pass
6.85,73.89,43,17,54.42,Pass
4.27,68.23,45,6,39.28,Fail
11.84,42.88,39,14,58.37,Pass
7.27,92.92,25,7,45.03,Pass
2.85,66.66,28,2,35,Fail
1.22,75.34,42,10,35,Fail
1.83,48.35,50,19,48,Pass
2.95,40.2,27,17,35,Fail
1.93,54.72,50,14,37.16,Fail
2.24,82.28,42,9,42.09,Pass
3.42,45.95,37,2,35,Fail
2.08,94.53,44,14,43.08,Pass
10.76,52.9,34,5,58.52,Pass
0.96,52.28,20,10,35,Fail
6.29,50.89,33,10,40.29,Pass
4.92,40.84,37,18,48.83,Pass
11.79,86.31,38,2,61.34,Pass
1.34,92.5,38,12,43.4,Pass
4.77,76.85,49,7,44.44,Pass
11.63,51.29,29,20,61.47,Pass
10.39,57.12,39,10,49.21,Pass
9.8,68.56,40,10,47.18,Pass
3.09,97.26,25,12,36.56,Fail
2.05,54.84,36,2,35,Fail
8.02,83.9,33,5,60.84,Pass
11.15,66.37,32,9,62.28,Pass
6.68,57.87,27,18,41.51,Pass
6.86,67.35,41,11,54.63,Pass
3.36,44.27,29,13,35,Fail
9.23,87.92,28,10,61.13,Pass
2.24,54.6,24,20,35,Fail
3.88,83.52,42,9,41.56,Pass
5.11,44.1,46,2,44.09,Pass
6.09,97.31,23,12,43.43,Pass
2.91,51.58,25,17,43.95,Pass
1.38,92.96,25,12,35,Fail
7.33,88.57,32,13,56.65,Pass
3.46,98.07,23,13,40.94,Pass
6.97,68.67,41,6,51.12,Pass
1.85,83.64,27,11,35,Fail
5.77,62.24,46,3,35,Fail
6.39,51.06,24,15,37.54,Fail
0.62,66.58,21,18,35,Fail
4.04,49.94,28,9,35,Fail
1.61,98.92,30,15,37.44,Fail
0.76,45.77,39,4,35,Fail
11.88,75.35,39,15,62.41,Pass
3.87,77.59,30,0,35,Fail
9.72,72.28,26,4,46.73,Pass
3.06,79.73,45,12,42.94,Pass
8.18,46.97,33,12,45.6,Pass
9.12,73.3,45,2,53.28,Pass
7.15,57.23,25,16,40.82,Pass
5.66,96.41,49,18,57.79,Pass
